names,År,FV_NetID,Ellev (el/varme),CO2 - El&Varme,Varme_Lev_til_net,Kul,Olie,Gas,Affald (fossil),Halm,Skovflis,Brænde,Træpiller,Træaffald,Affald (bio),"Biobrændsler
(bioolie)",Biogas,Overskudsvarme,Solvarme,El,CO2 - Varme,CO2 - El,andel kraftvarme,andel kedler,andel andet, kraftvarme - andel   Kul, kraftvarme - andel   Olie, kraftvarme - andel   Gas, kraftvarme - andel   Affald (fossil), kraftvarme - andel   Halm, kraftvarme - andel   Skovflis, kraftvarme - andel   Brænde, kraftvarme - andel   Træpiller, kraftvarme - andel   Træaffald, kraftvarme - andel   Affald (bio)," kraftvarme - andel   Biobrændsler
(bioolie)", kraftvarme - andel   Biogas, kedler - andel   Kul, kedler - andel   Olie, kedler - andel   Gas, kedler - andel   Affald (fossil), kedler - andel   Halm, kedler - andel   Skovflis, kedler - andel   Brænde, kedler - andel   Træpiller, kedler - andel   Træaffald, kedler - andel   Affald (bio)," kedler - andel   Biobrændsler
(bioolie)", kedler - andel   Biogas,Andet - andel overskudsvarme,Andet - andel solvarme,Andet - andel varmepumper og elkedler,forsyid
Ørslev-Terslev Fjernvarme,2021,385,0.1417422318150112,26.409723281944647,27353.88,0.0,0.0,0.4642243501835937,0.0,0.0,0.0,0,0.7791571798955029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.596089129147307,15.813634152797336,0.1612729163102272,0.8387270836897728,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1148456746536113,0.0,0.0,0.0,0,0.8851543253463886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30692446
Ørslev-Terslev Fjernvarme,2022,385,0.1325744032721708,24.196055838565275,25172.28,0.0,0.0,0.4253129871430001,0.0,0.0,0.0,0,0.8528095190423751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.831884058178282,16.364171780386997,0.1524391115941822,0.8475608884058178,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0617406857451403,0.0,0.0,0.0,0,0.9382593142548596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30692446
Ørsted Fjernvarme,2020,220,0.0,0.2838373674865528,59744.880000000005,0.0,0.0038304637987389,0.0,0.0,1.1093753975236036,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2838373674865528,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0038008316553277,0.0,0.0,0.9961991683446724,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26364817
Ørsted Fjernvarme,2021,220,0.0,0.0114985927403797,62412.08,0.0,0.0001551766901535,0.0,0.0,1.1044816964920894,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114985927403797,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0001550981797113,0.0,0.0,0.9998449018202886,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26364817
Ørsted Fjernvarme,2022,220,0.0,0.0146395578736543,59915.00000000001,0.0,0.000197564883585,0.0,0.0,1.131878494533923,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146395578736543,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0001805451149415,0.0,0.0,0.9998194548850584,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26364817
Ørum Fjernvarme (Nørre Djurs),2020,361,0.0,0.0502066535673148,26566.2,0.0,0.0006775526797208,0.0,0.0,0.0,1.052916864286198,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0502066535673148,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0006091370558375,0.0,0.0,0.0,0.9993908629441624,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12868014
Ørum Fjernvarme (Nørre Djurs),2021,361,0.0,0.8400878696789437,28443.6,0.0,0.0113372182142907,0.0,0.0,0.0,1.075813188204025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8400878696789437,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0095734940486371,0.0,0.0,0.0,0.9904265059513628,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12868014
Ørum Fjernvarme (Nørre Djurs),2022,361,0.0,0.943681901797085,25441.2,0.0,0.0127352483373425,0.0,0.0,0.0,1.0749964624310175,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.943681901797085,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0118795078489605,0.0,0.0,0.0,0.9881204921510396,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12868014
Ørum Fjernvarme (Tjele),2020,266,0.0175548589341692,44.464488353448274,45936.0,0.0,0.0,0.7815870689655172,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2342476489028213,0.0001567398119122,42.45458159561129,2.0099067578369905,0.0268677281077771,0.7637783221065525,0.2093539497856703,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.997379258704605,0.0026207412953949,12868014
Ørum Fjernvarme (Tjele),2021,266,0.0631483304308321,21.89502130385402,47545.2,0.0,0.0,0.3848659044446127,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1665783296736579,0.1549935640190808,14.737383145301738,7.157638158552283,0.0930789375233819,0.2178825289936401,0.6890385334829779,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2388967314583559,0.761103268541644,12868014
Ørum Fjernvarme (Tjele),2022,266,0.1023141952167909,19.80213626487047,44087.724,0.0,0.0,0.3480776281397515,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2372905437350315,0.1726194801981613,8.12518317262193,11.676953092248535,0.1568294752151254,0.0603967195895447,0.7827738051953298,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2999587118084227,0.7000412881915771,12868014
Østbirk Fjernvarme,2020,144,0.0,0.3874509803921568,55080.0,0.0,0.0052287581699346,0.0,0.0,0.0,0.9569934640522876,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3874509803921568,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0047712418300653,0.0,0.0,0.0,0.9952287581699346,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15567317
Østbirk Fjernvarme,2021,144,0.0,0.6969841690339714,59491.0,0.0,0.0094059941839942,0.0,0.0,0.0,0.9532870518229648,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6969841690339714,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0085895345514447,0.0,0.0,0.0,0.9914104654485552,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15567317
Østbirk Fjernvarme,2022,144,0.0,0.4647607973421927,57190.0,0.0,0.0062720755376814,0.0,0.0,0.0,0.95593635250918,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4647607973421927,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0057702395523692,0.0,0.0,0.0,0.9942297604476308,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15567317
Øster Assels Fjernvarme,2020,354,0.0097765363128491,31.13334383612662,7732.800000000001,0.0,0.0,0.5472551210428304,0.0,0.5471498034347195,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.85517279329608,1.27817104283054,0.0130353817504655,0.9869646182495344,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.484433962264151,0.0,0.5155660377358491,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16964638
Øster Assels Fjernvarme,2021,354,0.0821325648414985,37.70948321685879,9993.6,0.0,0.0,0.6628490634005764,0.0,0.5470000800512328,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.601687024495675,13.107796192363107,0.1473342939481268,0.8526657060518732,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.4021968736797634,0.0,0.5978031263202366,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16964638
Øster Assels Fjernvarme,2022,354,0.0838247683235046,20.389313694187027,8546.4,0.0,0.0,0.3583989048020219,0.0,0.8250666947486661,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.91280691659646,10.476506777590563,0.1318449873631002,0.8681550126368998,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1159631246967491,0.0,0.8840368753032508,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16964638
